Processor,Status,Release Date,Cores,Max Turbo Speed,Base Speed,Cache Size
Intel Core i5-5250U Processor,Launched,Q1'15,2,2.70 GHz,1.60 GHz,3 MB
Intel Core i5-5200U Processor,Launched,Q1'15,2,2.70 GHz,2.20 GHz,3 MB
Intel Core i3-5157U Processor,Launched,Q1'15,2,2.50 GHz,,3 MB
Intel Core i3-5020U Processor,Launched,Q1'15,2,2.20 GHz,,3 MB
Intel Core i3-5015U Processor,Launched,Q1'15,2,2.10 GHz,,3 MB
Intel Core i3-5010U Processor,Launched,Q1'15,2,2.10 GHz,,3 MB
Intel Core i3-5005U Processor,Launched,Q1'15,2,2.00 GHz,,3 MB
Intel Core M-5Y71 Processor,Launched,Q4'14,2,2.90 GHz,1.20 GHz,4 MB
Intel Core M-5Y70 Processor,Launched,Q3'14,2,2.60 GHz,1.10 GHz,4 MB
Intel Core M-5Y51 Processor,Launched,Q4'14,2,2.60 GHz,1.10 GHz,4 MB
Intel Core M-5Y31 Processor,Launched,Q4'14,2,2.40 GHz,900 MHz,4 MB
Intel Core M-5Y10c Processor,Launched,Q4'14,2,2.00 GHz,800 MHz,4 MB
Intel Core M-5Y10a Processor,Launched,Q3'14,2,2.00 GHz,800 MHz,4 MB
Intel Core M-5Y10 Processor,Launched,Q3'14,2,2.00 GHz,800 MHz,4 MB
Intel Core i7-4900MQ Processor,Launched,Q2'13,4,3.80 GHz,2.80 GHz,8 MB 
Intel Core i7-4910MQ Processor,Launched,Q1'14,4,3.90 GHz,2.90 GHz,8 MB 
Intel Core i7-4950HQ Processor,Launched,Q3'13,4,3.60 GHz,2.40 GHz,6 MB 
Intel Core i7-4960HQ Processor,Launched,Q4'13,4,3.80 GHz,2.60 GHz,6 MB 
Intel Core i7-4980HQ Processor,Launched,Q3'14,4,4.00 GHz,2.80 GHz,6 MB
Intel Core i7-4800MQ Processor,Launched,Q2'13,4,3.70 GHz,2.70 GHz,6 MB 
Intel Core i7-4810MQ Processor,Launched,Q1'14,4,3.80 GHz,2.80 GHz,6 MB 
Intel Core i7-4850HQ Processor,Launched,Q3'13,4,3.50 GHz,2.30 GHz,6 MB 
Intel Core i7-4860HQ Processor,Launched,Q1'14,4,3.60 GHz,2.40 GHz,6 MB 
Intel Core i7-4870HQ Processor,Launched,Q3'14,4,3.70 GHz,2.50 GHz,6 MB
Intel Core i7-4700EC Processor,Launched,Q1'14,4,,2.70 GHz,8 MB 
Intel Core i7-4700EQ Processor,Launched,Q2'13,4,3.40 GHz,2.40 GHz,6 MB 
Intel Core i7-4700HQ Processor,Launched,Q2'13,4,3.40 GHz,2.40 GHz,6 MB 
Intel Core i7-4700MQ Processor,Launched,Q2'13,4,3.40 GHz,2.40 GHz,6 MB 
Intel Core i7-4702EC Processor,Launched,Q1'14,4,,2.00 GHz,8 MB 
Intel Core i7-4702HQ Processor,Launched,Q2'13,4,3.20 GHz,2.20 GHz,6 MB 
Intel Core i7-4702MQ Processor,Launched,Q2'13,4,3.20 GHz,2.20 GHz,6 MB 
Intel Core i7-4710HQ Processor,Launched,Q2'14,4,3.50 GHz,2.50 GHz,6 MB 
Intel Core i7-4710MQ Processor,Launched,Q2'14,4,3.50 GHz,2.50 GHz,6 MB 
Intel Core i7-4712HQ Processor,Launched,Q2'14,4,3.30 GHz,2.30 GHz,6 MB 
Intel Core i7-4712MQ Processor,Launched,Q2'14,4,3.30 GHz,2.30 GHz,6 MB 
Intel Core i7-4720HQ Processor,Launched,Q1'15,4,3.60 GHz,2.60 GHz,6 MB
Intel Core i7-4722HQ Processor,Launched,Q1'15,4,3.40 GHz,2.40 GHz,6 MB
Intel Core i7-4750HQ Processor,Launched,Q3'13,4,3.20 GHz,2.00 GHz,6 MB 
Intel Core i7-4760HQ Processor,Launched,Q2'14,4,3.30 GHz,2.10 GHz,6 MB 
Intel Core i7-4770HQ Processor,Launched,Q3'14,4,3.40 GHz,2.20 GHz,6 MB
Intel Core i7-4790K Processor,Discontinued,Q2'14,4,4.40 GHz,4.00 GHz,8 MB 
Intel Core i7-4770K Processor,Discontinued,Q2'13,4,3.90 GHz,3.50 GHz,8 MB 
Intel Core i7-4765T Processor,Discontinued,Q2'13,4,3.00 GHz,2.00 GHz,8 MB 
Intel Core i7-4770 Processor,Discontinued,Q2'13,4,3.90 GHz,3.40 GHz,8 MB 
Intel Core i7-4770R Processor,Discontinued,Q2'13,4,3.90 GHz,3.20 GHz,6 MB 
Intel Core i7-4770S Processor,Launched,Q2'13,4,3.90 GHz,3.10 GHz,8 MB 
Intel Core i7-4770T Processor,Discontinued,Q2'13,4,3.70 GHz,2.50 GHz,8 MB 
Intel Core i7-4770TE Processor,Launched,Q2'13,4,3.30 GHz,2.30 GHz,8 MB 
Intel Core i7-4771 Processor,Discontinued,Q3'13,4,3.90 GHz,3.50 GHz,8 MB 
Intel Core i7-4785T Processor,Discontinued,Q2'14,4,3.20 GHz,2.20 GHz,8 MB 
Intel Core i7-4790 Processor,Discontinued,Q2'14,4,4.00 GHz,3.60 GHz,8 MB 
Intel Core i7-4790S Processor,Launched,Q2'14,4,4.00 GHz,3.20 GHz,8 MB 
Intel Core i7-4790T Processor,Discontinued,Q2'14,4,3.90 GHz,2.70 GHz,8 MB 
Intel Core i7-4600M Processor,Launched,Q4'13,2,3.60 GHz,2.90 GHz,4 MB 
Intel Core i7-4600U Processor,Launched,Q3'13,2,3.30 GHz,2.10 GHz,4 MB 
Intel Core i7-4610M Processor,Launched,Q1'14,2,3.70 GHz,3.00 GHz,4 MB 
Intel Core i7-4610Y Processor,Launched,Q3'13,2,2.90 GHz,1.70 GHz,4 MB 
Intel Core i7-4650U Processor,Launched,Q3'13,2,3.30 GHz,1.70 GHz,4 MB 
Intel Core i7-4500U Processor,Launched,Q3'13,2,3.00 GHz,1.80 GHz,4 MB 
Intel Core i7-4510U Processor,Launched,Q2'14,2,3.10 GHz,2.00 GHz,4 MB 
Intel Core i7-4550U Processor,Launched,Q3'13,2,3.00 GHz,1.50 GHz,4 MB 
Intel Core i7-4558U Processor,Launched,Q3'13,2,3.30 GHz,2.80 GHz,4 MB 
Intel Core i7-4578U Processor,Launched,Q3'14,2,3.50 GHz,3.00 GHz,4 MB
Intel Core i5-4670 Processor,Discontinued,Q2'13,4,3.80 GHz,3.40 GHz,6 MB 
Intel Core i5-4670K Processor,Discontinued,Q2'13,4,3.80 GHz,3.40 GHz,6 MB 
Intel Core i5-4670R Processor,Discontinued,Q2'13,4,3.70 GHz,3.00 GHz,4 MB 
Intel Core i5-4670S Processor,Discontinued,Q2'13,4,3.80 GHz,3.10 GHz,6 MB 
Intel Core i5-4670T Processor,Discontinued,Q2'13,4,3.30 GHz,2.30 GHz,6 MB 
Intel Core i5-4690 Processor,Discontinued,Q2'14,4,3.90 GHz,3.50 GHz,6 MB 
Intel Core i5-4690K Processor,Discontinued,Q2'14,4,3.90 GHz,3.50 GHz,6 MB 
Intel Core i5-4690S Processor,Discontinued,Q2'14,4,3.90 GHz,3.20 GHz,6 MB 
Intel Core i5-4690T Processor,Discontinued,Q2'14,4,3.50 GHz,2.50 GHz,6 MB 
Intel Core i5-4570 Processor,Discontinued,Q2'13,4,3.60 GHz,3.20 GHz,6 MB 
Intel Core i5-4570R Processor,Discontinued,Q2'13,4,3.20 GHz,2.70 GHz,4 MB 
Intel Core i5-4570S Processor,Launched,Q2'13,4,3.60 GHz,2.90 GHz,6 MB 
Intel Core i5-4570T Processor,Discontinued,Q2'13,2,3.60 GHz,2.90 GHz,4 MB 
Intel Core i5-4570TE Processor,Launched,Q2'13,2,3.30 GHz,2.70 GHz,4 MB 
Intel Core i5-4590 Processor,Discontinued,Q2'14,4,3.70 GHz,3.30 GHz,6 MB 
Intel Core i5-4590S Processor,Launched,Q2'14,4,3.70 GHz,3.00 GHz,6 MB 
Intel Core i5-4590T Processor,Launched,Q2'14,4,3.00 GHz,2.00 GHz,6 MB 
Intel Core i5-4422E Processor,Launched,Q2'14,2,2.90 GHz,1.80 GHz,3 MB 
Intel Core i5-4410E Processor,Launched,Q2'14,2,,2.90 GHz,3 MB 
Intel Core i5-4402EC Processor,Launched,Q1'14,2,,2.50 GHz,4 MB 
Intel Core i5-4402E Processor,Launched,Q3'13,2,2.70 GHz,1.60 GHz,3 MB 
Intel Core i5-4400E Processor,Launched,Q3'13,2,3.30 GHz,2.70 GHz,3 MB 
Intel Core i5-4460T Processor,Discontinued,Q2'14,4,2.70 GHz,1.90 GHz,6 MB 
Intel Core i5-4460S Processor,Discontinued,Q2'14,4,3.40 GHz,2.90 GHz,6 MB 
Intel Core i5-4460 Processor,Discontinued,Q2'14,4,3.40 GHz,3.20 GHz,6 MB 
Intel Core i5-4440S Processor,Discontinued,Q3'13,4,3.30 GHz,2.80 GHz,6 MB 
Intel Core i5-4440 Processor,Discontinued,Q3'13,4,3.30 GHz,3.10 GHz,6 MB 
Intel Core i5-4430S Processor,Discontinued,Q2'13,4,3.20 GHz,2.70 GHz,6 MB 
Intel Core i5-4430 Processor,Discontinued,Q2'13,4,3.20 GHz,3.00 GHz,6 MB 
Intel Core i5-4300M Processor,Launched,Q4'13,2,3.30 GHz,2.60 GHz,3 MB 
Intel Core i5-4300U Processor,Launched,Q3'13,2,2.90 GHz,1.90 GHz,3 MB 
Intel Core i5-4300Y Processor,Launched,Q3'13,2,2.30 GHz,1.60 GHz,3 MB 
Intel Core i5-4302Y Processor,Launched,Q3'13,2,2.30 GHz,1.60 GHz,3 MB 
Intel Core i5-4308U Processor,Launched,Q3'14,2,3.30 GHz,2.80 GHz,3 MB
Intel Core i5-4310M Processor,Launched,Q1'14,2,3.40 GHz,2.70 GHz,3 MB 
Intel Core i5-4310U Processor,Launched,Q1'14,2,3.00 GHz,2.00 GHz,3 MB 
Intel Core i5-4330M Processor,Launched,Q4'13,2,3.50 GHz,2.80 GHz,3 MB 
Intel Core i5-4340M Processor,Launched,Q1'14,2,3.60 GHz,2.90 GHz,3 MB 
Intel Core i5-4350U Processor,Launched,Q3'13,2,2.90 GHz,1.40 GHz,3 MB 
Intel Core i5-4360U Processor,Launched,Q1'14,2,3.00 GHz,1.50 GHz,3 MB 
Intel Core i5-4200H Processor,Launched,Q4'13,2,3.40 GHz,2.80 GHz,3 MB 
Intel Core i5-4200M Processor,Launched,Q4'13,2,3.10 GHz,2.50 GHz,3 MB 
Intel Core i5-4200U Processor,Launched,Q3'13,2,2.60 GHz,1.60 GHz,3 MB 
Intel Core i5-4200Y Processor,Launched,Q3'13,2,1.90 GHz,1.40 GHz,3 MB 
Intel Core i5-4202Y Processor,Launched,Q3'13,2,2.00 GHz,1.60 GHz,3 MB 
Intel Core i5-4210H Processor,Launched,Q3'14,2,3.50 GHz,2.90 GHz,3 MB 
Intel Core i5-4210M Processor,Launched,Q2'14,2,3.20 GHz,2.60 GHz,3 MB 
Intel Core i5-4210U Processor,Launched,Q2'14,2,2.70 GHz,1.70 GHz,3 MB 
Intel Core i5-4210Y Processor,Launched,Q3'13,2,1.90 GHz,1.50 GHz,3 MB 
Intel Core i5-4220Y Processor,Launched,Q2'14,2,2.00 GHz,1.60 GHz,3 MB
Intel Core i5-4250U Processor,Launched,Q3'13,2,2.60 GHz,1.30 GHz,3 MB 
Intel Core i5-4258U Processor,Launched,Q3'13,2,2.90 GHz,2.40 GHz,3 MB 
Intel Core i5-4260U Processor,Launched,Q2'14,2,2.70 GHz,1.40 GHz,3 MB 
Intel Core i5-4278U Processor,Launched,Q3'14,2,3.10 GHz,2.60 GHz,3 MB
Intel Core i5-4288U Processor,Launched,Q3'13,2,3.10 GHz,2.60 GHz,3 MB 
Intel Core i3-4330 Processor,Launched,Q3'13,2,3.50 GHz,,4 MB 
Intel Core i3-4330T Processor,Discontinued,Q3'13,2,3.00 GHz,,4 MB 
Intel Core i3-4330TE Processor,Launched,Q3'13,2,2.40 GHz,,4 MB 
Intel Core i3-4340 Processor,Discontinued,Q3'13,2,3.60 GHz,,4 MB 
Intel Core i3-4340TE Processor,Launched,Q2'14,2,2.60 GHz,,4 MB 
Intel Core i3-4350 Processor,Discontinued,Q2'14,2,3.60 GHz,,4 MB 
Intel Core i3-4350T Processor,Launched,Q2'14,2,3.10 GHz,,4 MB 
Intel Core i3-4360 Processor,Launched,Q2'14,2,3.70 GHz,,4 MB 
Intel Core i3-4360T Processor,Discontinued,Q3'14,2,3.20 GHz,,4 MB 
Intel Core i3-4370 Processor,Discontinued,Q3'14,2,3.80 GHz,,4 MB 
Intel Core i3-4370T Processor,Discontinued,Q1'15,2,3.30 GHz,,4 MB
Intel Core i3-4100E Processor,Launched,Q3'13,2,2.40 GHz,,3 MB 
Intel Core i3-4100M Processor,Launched,Q4'13,2,2.50 GHz,,3 MB 
Intel Core i3-4100U Processor,Launched,Q3'13,2,1.80 GHz,,3 MB 
Intel Core i3-4102E Processor,Launched,Q3'13,2,1.60 GHz,,3 MB 
Intel Core i3-4110E Processor,Launched,Q2'14,2,2.60 GHz,,3 MB 
Intel Core i3-4110M Processor,Launched,Q2'14,2,2.60 GHz,,3 MB 
Intel Core i3-4112E Processor,Launched,Q2'14,2,1.80 GHz,,3 MB 
Intel Core i3-4120U Processor,Launched,Q2'14,2,2.00 GHz,,3 MB
Intel Core i3-4158U Processor,Launched,Q3'13,2,2.00 GHz,,3 MB 
Intel Core i3-4170T Processor,Discontinued,Q1'15,2,3.20 GHz,,3 MB
Intel Core i3-4170 Processor,Discontinued,Q1'15,2,3.70 GHz,,3 MB
Intel Core i3-4160T Processor,Discontinued,Q3'14,2,3.10 GHz,,3 MB 
Intel Core i3-4160 Processor,Discontinued,Q3'14,2,3.60 GHz,,3 MB 
Intel Core i3-4150T Processor,Discontinued,Q2'14,2,3.00 GHz,,3 MB 
Intel Core i3-4150 Processor,Discontinued,Q2'14,2,3.50 GHz,,3 MB 
Intel Core i3-4130T Processor,Discontinued,Q3'13,2,2.90 GHz,,3 MB 
Intel Core i3-4130 Processor,Discontinued,Q3'13,2,3.40 GHz,,3 MB 
Intel Core i3-4000M Processor,Launched,Q4'13,2,2.40 GHz,,3 MB 
Intel Core i3-4005U Processor,Launched,Q3'13,2,1.70 GHz,,3 MB 
Intel Core i3-4010U Processor,Launched,Q3'13,2,1.70 GHz,,3 MB 
Intel Core i3-4010Y Processor,Launched,Q3'13,2,1.30 GHz,,3 MB 
Intel Core i3-4012Y Processor,Launched,Q3'13,2,1.50 GHz,,3 MB 
Intel Core i3-4020Y Processor,Launched,Q3'13,2,1.50 GHz,,3 MB 
Intel Core i3-4025U Processor,Launched,Q2'14,2,1.90 GHz,,3 MB 
Intel Core i3-4030U Processor,Launched,Q2'14,2,1.90 GHz,,3 MB 
Intel Core i3-4030Y Processor,Launched,Q2'14,2,1.60 GHz,,3 MB 
Intel Core i7-2960XM Processor Extreme Edition,Launched,Q4'11,4,3.70 GHz,2.70 GHz,8 MB 
Intel Core i7-2920XM Processor Extreme Edition,Launched,Q1'11,4,3.50 GHz,2.50 GHz,8 MB 
Intel Core i7-990X Processor Extreme Edition,Discontinued,Q1'11,6,3.73 GHz,3.46 GHz,12 MB 
Intel Core i7-980X Processor Extreme Edition,Discontinued,Q1'10,6,3.60 GHz,3.33 GHz,12 MB 
Intel Core i7-975 Processor Extreme Edition,Discontinued,Q2'09,4,3.60 GHz,3.33 GHz,8 MB 
Intel Core i7-965 Processor Extreme Edition,Discontinued,Q4'08,4,3.46 GHz,3.20 GHz,8 MB 
Intel Core i7-940XM Processor Extreme Edition,Discontinued,Q3'10,4,3.33 GHz,2.13 GHz,8 MB 
Intel Core i7-920XM Processor Extreme Edition,Discontinued,Q3'09,4,3.20 GHz,2.00 GHz,8 MB 
Intel Core2 Extreme Processor X9100,Discontinued,Q3'08,2,,3.06 GHz,6 MB 
Intel Core2 Extreme Processor X9000,Discontinued,Q1'08,2,,2.80 GHz,6 MB 
Intel Core2 Extreme Processor X7900,Discontinued,Q3'07,2,,2.80 GHz,4 MB 
Intel Core2 Extreme Processor X7800,Discontinued,Q3'07,2,,2.60 GHz,4 MB 
Intel Core2 Extreme Processor X6800,Discontinued,Q3'06,2,,2.93 GHz,4 MB 
Intel Core2 Extreme Processor QX9775,Discontinued,Q1'08,4,,3.20 GHz,12 MB 
Intel Core2 Extreme Processor QX9770,Discontinued,Q1'08,4,,3.20 GHz,12 MB 
Intel Core2 Extreme Processor QX9650,Discontinued,Q4'07,4,,3.00 GHz,12 MB 
Intel Core2 Extreme Processor QX9300,Discontinued,Q3'08,4,,2.53 GHz,12 MB 
Intel Core2 Extreme Processor QX6850,Discontinued,Q3'07,4,,3.00 GHz,8 MB 
Intel Core2 Extreme Processor QX6800,Discontinued,Q2'07,4,,2.93 GHz,8 MB 
Intel Core2 Extreme Processor QX6700,Discontinued,Q4'06,4,,2.66 GHz,8 MB 
Intel Core i7-3840QM Processor,Launched,Q3'12,4,3.80 GHz,2.80 GHz,8 MB 
Intel Core i7-3820QM Processor,Launched,Q2'12,4,3.70 GHz,2.70 GHz,8 MB 
Intel Core i7-3770T Processor,Discontinued,Q2'12,4,3.70 GHz,2.50 GHz,8 MB 
Intel Core i7-3770S Processor,Discontinued,Q2'12,4,3.90 GHz,3.10 GHz,8 MB 
Intel Core i7-3770K Processor,Discontinued,Q2'12,4,3.90 GHz,3.50 GHz,8 MB 
Intel Core i7-3770 Processor,Discontinued,Q2'12,4,3.90 GHz,3.40 GHz,8 MB 
Intel Core i7-3740QM Processor,Launched,Q3'12,4,3.70 GHz,2.70 GHz,6 MB 
Intel Core i7-3720QM Processor,Launched,Q2'12,4,3.60 GHz,2.60 GHz,6 MB 
Intel Core i7-3689Y Processor,Launched,Q1'13,2,2.60 GHz,1.50 GHz,4 MB
Intel Core i7-3687U Processor,Launched,Q1'13,2,3.30 GHz,2.10 GHz,4 MB 
Intel Core i7-3667U Processor,Launched,Q2'12,2,3.20 GHz,2.00 GHz,4 MB 
Intel Core i7-3635QM Processor,Launched,Q3'12,4,3.40 GHz,2.40 GHz,6 MB 
Intel Core i7-3632QM Processor,Launched,Q3'12,4,3.20 GHz,2.20 GHz,6 MB 
Intel Core i7-3632QM Processor,Launched,Q3'12,4,3.20 GHz,2.20 GHz,6 MB 
Intel Core i7-3630QM Processor,Launched,Q3'12,4,3.40 GHz,2.40 GHz,6 MB 
Intel Core i7-3615QM Processor,Launched,Q2'12,4,3.30 GHz,2.30 GHz,6 MB 
Intel Core i7-3615QE Processor,Launched,Q2'12,4,3.30 GHz,2.30 GHz,6 MB 
Intel Core i7-3612QM Processor,Launched,Q2'12,4,3.10 GHz,2.10 GHz,6 MB 
Intel Core i7-3612QM Processor,Launched,Q2'12,4,3.10 GHz,2.10 GHz,6 MB 
Intel Core i7-3612QE Processor,Launched,Q2'12,4,3.10 GHz,2.10 GHz,6 MB 
Intel Core i7-3610QM Processor,Launched,Q2'12,4,3.30 GHz,2.30 GHz,6 MB 
Intel Core i7-3610QE Processor,Launched,Q2'12,4,3.30 GHz,2.30 GHz,6 MB 
Intel Core i7-3555LE Processor,Launched,Q2'12,2,3.20 GHz,2.50 GHz,4 MB 
Intel Core i7-3540M Processor,Launched,Q1'13,2,3.70 GHz,3.00 GHz,4 MB 
Intel Core i7-3537U Processor,Launched,Q1'13,2,3.10 GHz,2.00 GHz,4 MB 
Intel Core i7-3520M Processor,Launched,Q2'12,2,3.60 GHz,2.90 GHz,4 MB 
Intel Core i7-3517UE Processor,Launched,Q2'12,2,2.80 GHz,1.70 GHz,4 MB 
Intel Core i7-3517U Processor,Launched,Q2'12,2,3.00 GHz,1.90 GHz,4 MB 
Intel Core i5-3610ME Processor,Launched,Q2'12,2,3.30 GHz,2.70 GHz,3 MB 
Intel Core i5-3570S Processor,Discontinued,Q2'12,4,3.80 GHz,3.10 GHz,6 MB 
Intel Core i5-3570T Processor,Discontinued,Q2'12,4,3.30 GHz,2.30 GHz,6 MB 
Intel Core i5-3570K Processor,Discontinued,Q2'12,4,3.80 GHz,3.40 GHz,6 MB 
Intel Core i5-3570 Processor,Discontinued,Q2'12,4,3.80 GHz,3.40 GHz,6 MB 
Intel Core i5-3550S Processor,Launched,Q2'12,4,3.70 GHz,3.00 GHz,6 MB 
Intel Core i5-3550 Processor,Discontinued,Q2'12,4,3.70 GHz,3.30 GHz,6 MB 
Intel Core i5-3475S Processor,Discontinued,Q2'12,4,3.60 GHz,2.90 GHz,6 MB 
Intel Core i5-3470T Processor,Discontinued,Q2'12,2,3.60 GHz,2.90 GHz,3 MB 
Intel Core i5-3470S Processor,Discontinued,Q2'12,4,3.60 GHz,2.90 GHz,6 MB 
Intel Core i5-3470 Processor,Discontinued,Q2'12,4,3.60 GHz,3.20 GHz,6 MB 
Intel Core i5-3450S Processor,Discontinued,Q2'12,4,3.50 GHz,2.80 GHz,6 MB 
Intel Core i5-3450 Processor,Discontinued,Q2'12,4,3.50 GHz,3.10 GHz,6 MB 
Intel Core i5-3439Y Processor,Launched,Q1'13,2,2.30 GHz,1.50 GHz,3 MB
Intel Core i5-3437U Processor,Launched,Q1'13,2,2.90 GHz,1.90 GHz,3 MB 
Intel Core i5-3427U Processor,Launched,Q2'12,2,2.80 GHz,1.80 GHz,3 MB 
Intel Core i5-3380M Processor,Launched,Q1'13,2,3.60 GHz,2.90 GHz,3 MB 
Intel Core i5-3360M Processor,Launched,Q2'12,2,3.50 GHz,2.80 GHz,3 MB 
Intel Core i5-3350P Processor,Discontinued,Q3'12,4,3.30 GHz,3.10 GHz,6 MB 
Intel Core i5-3340S Processor,Discontinued,Q3'13,4,3.30 GHz,2.80 GHz,6 MB 
Intel Core i5-3340M Processor,Launched,Q1'13,2,3.40 GHz,2.70 GHz,3 MB 
Intel Core i5-3340 Processor,Discontinued,Q3'13,4,3.30 GHz,3.10 GHz,6 MB 
Intel Core i5-3339Y Processor,Launched,Q1'13,2,2.00 GHz,1.50 GHz,3 MB
Intel Core i5-3337U Processor,Launched,Q1'13,2,2.70 GHz,1.80 GHz,3 MB 
Intel Core i5-3330S Processor,Discontinued,Q3'12,4,3.20 GHz,2.70 GHz,6 MB 
Intel Core i5-3330 Processor,Discontinued,Q3'12,4,3.20 GHz,3.00 GHz,6 MB 
Intel Core i5-3320M Processor,Launched,Q2'12,2,3.30 GHz,2.60 GHz,3 MB 
Intel Core i5-3317U Processor,Launched,Q2'12,2,2.60 GHz,1.70 GHz,3 MB 
Intel Core i5-3230M Processor,Launched,Q1'13,2,3.20 GHz,2.60 GHz,3 MB 
Intel Core i5-3230M Processor,Launched,Q1'13,2,3.20 GHz,2.60 GHz,3 MB 
Intel Core i5-3210M Processor,Launched,Q2'12,2,3.10 GHz,2.50 GHz,3 MB 
Intel Core i5-3210M Processor,Launched,Q2'12,2,3.10 GHz,2.50 GHz,3 MB 
Intel Core i3-3250T Processor,Launched,Q2'13,2,,3.00 GHz,3 MB 
Intel Core i3-3250 Processor,Launched,Q2'13,2,,3.50 GHz,3 MB 
Intel Core i3-3245 Processor,Discontinued,Q2'13,2,,3.40 GHz,3 MB 
Intel Core i3-3240T Processor,Discontinued,Q3'12,2,,2.90 GHz,3 MB 
Intel Core i3-3240 Processor,Launched,Q3'12,2,,3.40 GHz,3 MB 
Intel Core i3-3229Y Processor,Launched,Q1'13,2,,1.40 GHz,3 MB
Intel Core i3-3227U Processor,Launched,Q1'13,2,,1.90 GHz,3 MB 
Intel Core i3-3225 Processor,Discontinued,Q3'12,2,,3.30 GHz,3 MB 
Intel Core i3-3220T Processor,Launched,Q3'12,2,,2.80 GHz,3 MB 
Intel Core i3-3220 Processor,Launched,Q3'12,2,,3.30 GHz,3 MB 
Intel Core i3-3217UE Processor,Launched,Q3'12,2,,1.60 GHz,3 MB 
Intel Core i3-3217U Processor,Launched,Q2'12,2,,1.80 GHz,3 MB 
Intel Core i3-3210 Processor,Discontinued,Q1'13,2,,3.20 GHz,3 MB 
Intel Core i3-3130M Processor,Launched,Q1'13,2,,2.60 GHz,3 MB 
Intel Core i3-3120ME Processor,Launched,Q3'12,2,,2.40 GHz,3 MB 
Intel Core i3-3120M Processor,Launched,Q3'12,2,,2.50 GHz,3 MB 
Intel Core i3-3115C Processor,Launched,Q3'13,2,,2.50 GHz,4 MB 
Intel Core i3-3110M Processor,Launched,Q2'12,2,,2.40 GHz,3 MB 
Intel Core i7-2860QM Processor,Launched,Q4'11,4,3.60 GHz,2.50 GHz,8 MB 
Intel Core i7-2820QM Processor,Launched,Q1'11,4,3.40 GHz,2.30 GHz,8 MB 
Intel Core i7-2760QM Processor,Launched,Q4'11,4,3.50 GHz,2.40 GHz,6 MB 
Intel Core i7-2720QM Processor,Launched,Q1'11,4,3.30 GHz,2.20 GHz,6 MB 
Intel Core i7-2715QE Processor,Launched,Q1'11,4,3.00 GHz,2.10 GHz,6 MB 
Intel Core i7-2710QE Processor,Launched,Q1'11,4,3.00 GHz,2.10 GHz,6 MB 
Intel Core i7-2700K Processor,Discontinued,Q4'11,4,3.90 GHz,3.50 GHz,8 MB 
Intel Core i7-2677M Processor,Launched,Q2'11,2,2.90 GHz,1.80 GHz,4 MB 
Intel Core i7-2670QM Processor,Launched,Q4'11,4,3.10 GHz,2.20 GHz,6 MB 
Intel Core i7-2675QM Processor,Launched,Q4'11,4,3.10 GHz,2.20 GHz,6 MB 
Intel Core i7-2657M Processor,Launched,Q1'11,2,2.70 GHz,1.60 GHz,4 MB 
Intel Core i7-2655LE Processor,Launched,Q1'11,2,2.90 GHz,2.20 GHz,4 MB 
Intel Core i7-2649M Processor,Launched,Q1'11,2,3.20 GHz,2.30 GHz,4 MB 
Intel Core i7-2640M Processor,Launched,Q4'11,2,3.50 GHz,2.80 GHz,4 MB 
Intel Core i7-2637M Processor,Launched,Q2'11,2,2.80 GHz,1.70 GHz,4 MB 
Intel Core i7-2635QM Processor,Launched,Q1'11,4,2.90 GHz,2.00 GHz,6 MB 
Intel Core i7-2630QM Processor,Launched,Q1'11,4,2.90 GHz,2.00 GHz,6 MB 
Intel Core i7-2629M Processor,Launched,Q1'11,2,3.00 GHz,2.10 GHz,4 MB 
Intel Core i7-2620M Processor,Launched,Q1'11,2,3.40 GHz,2.70 GHz,4 MB 
Intel Core i7-2617M Processor,Launched,Q1'11,2,2.60 GHz,1.50 GHz,4 MB 
Intel Core i7-2610UE Processor,Launched,Q1'11,2,2.40 GHz,1.50 GHz,4 MB 
Intel Core i7-2600S Processor,Discontinued,Q1'11,4,3.80 GHz,2.80 GHz,8 MB 
Intel Core i7-2600K Processor,Discontinued,Q1'11,4,3.80 GHz,3.40 GHz,8 MB 
Intel Core i7-2600 Processor,Launched,Q1'11,4,3.80 GHz,3.40 GHz,8 MB 
Intel Core i5-2557M Processor,Launched,Q2'11,2,2.70 GHz,1.70 GHz,3 MB 
Intel Core i5-2550K Processor,Discontinued,Q1'12,4,3.80 GHz,3.40 GHz,6 MB 
Intel Core i5-2540M Processor,Launched,Q1'11,2,3.30 GHz,2.60 GHz,3 MB 
Intel Core i5-2537M Processor,Launched,Q1'11,2,2.30 GHz,1.40 GHz,3 MB 
Intel Core i5-2520M Processor,Launched,Q1'11,2,3.20 GHz,2.50 GHz,3 MB 
Intel Core i5-2515E Processor,Launched,Q1'11,2,3.10 GHz,2.50 GHz,3 MB 
Intel Core i5-2510E Processor,Launched,Q1'11,2,3.10 GHz,2.50 GHz,3 MB 
Intel Core i5-2500T Processor,Discontinued,Q1'11,4,3.30 GHz,2.30 GHz,6 MB 
Intel Core i5-2500S Processor,Discontinued,Q1'11,4,3.70 GHz,2.70 GHz,6 MB 
Intel Core i5-2500K Processor,Discontinued,Q1'11,4,3.70 GHz,3.30 GHz,6 MB 
Intel Core i5-2500 Processor,Discontinued,Q1'11,4,3.70 GHz,3.30 GHz,6 MB 
