Processor,Status,Release Date,Cores,Max Turbo Speed,Base Speed,Cache Size
Intel Core i7-9850H Processor,Launched,Q2'19,6,4.60 GHz,2.60 GHz,12 MB
Intel Core i7-9750HF Processor,Launched,Q2'19,6,4.50 GHz,2.60 GHz,12 MB 
Intel Core i7-9750H Processor,Launched,Q2'19,6,4.50 GHz,2.60 GHz,12 MB 
Intel Core i7-9700TE Processor,Launched,Q2'19,8,3.80 GHz,1.80 GHz,12 MB
Intel Core i7-9700T Processor,Launched,Q2'19,8,4.30 GHz,2.00 GHz,12 MB 
Intel Core i7-9700KF Processor,Launched,Q1'19,8,4.90 GHz,3.60 GHz,12 MB 
Intel Core i7-9700K Processor,Launched,Q4'18,8,4.90 GHz,3.60 GHz,12 MB 
Intel Core i7-9700F Processor,Launched,Q2'19,8,4.70 GHz,3.00 GHz,12 MB 
Intel Core i7-9700E Processor,Launched,Q2'19,8,4.40 GHz,2.60 GHz,12 MB
Intel Core i7-9700 Processor,Launched,Q2'19,8,4.70 GHz,3.00 GHz,12 MB 
Intel Core i5-9600T Processor,Launched,Q2'19,6,3.90 GHz,2.30 GHz,9 MB 
Intel Core i5-9600K Processor,Launched,Q4'18,6,4.60 GHz,3.70 GHz,9 MB 
Intel Core i5-9600KF Processor,Launched,Q1'19,6,4.60 GHz,3.70 GHz,9 MB 
Intel Core i5-9600 Processor,Launched,Q2'19,6,4.60 GHz,3.10 GHz,9 MB 
Intel Core i5-9500TE Processor,Launched,Q2'19,6,3.60 GHz,2.20 GHz,9 MB
Intel Core i5-9500T Processor,Launched,Q2'19,6,3.70 GHz,2.20 GHz,9 MB 
Intel Core i5-9500F Processor,Launched,Q2'19,6,4.40 GHz,3.00 GHz,9 MB 
Intel Core i5-9500E Processor,Launched,Q2'19,6,4.20 GHz,3.00 GHz,9 MB
Intel Core i5-9500 Processor,Launched,Q2'19,6,4.40 GHz,3.00 GHz,9 MB 
Intel Core i5-9400F Processor,Launched,Q1'19,6,4.10 GHz,2.90 GHz,9 MB 
Intel Core i5-9400T Processor,Launched,Q2'19,6,3.40 GHz,1.80 GHz,9 MB 
Intel Core i5-9400H Processor,Launched,Q2'19,4,4.30 GHz,2.50 GHz,8 MB 
Intel Core i5-9400 Processor,Launched,Q1'19,6,4.10 GHz,2.90 GHz,9 MB 
Intel Core i5-9300H Processor,Launched,Q2'19,4,4.10 GHz,2.40 GHz,8 MB 
Intel Core i9-8950HK Processor,Launched,Q2'18,6,4.80 GHz,2.90 GHz,12 MB 
Intel Core i7-8665UE Processor,Launched,Q2'19,4,4.40 GHz,1.70 GHz,8 MB
Intel Core i7-8665U Processor,Launched,Q2 '19,4,4.80 GHz,1.90 GHz,8 MB 
Intel Core i7-8557U Processor,Launched,Q3'19,4,4.50 GHz,1.70 GHz,8 MB 
Intel Core i7-8850H Processor,Launched,Q2'18,6,4.30 GHz,2.60 GHz,9 MB 
Intel Core i7-8809G Processor with Radeon RX Vega M GH graphics,Announced,Q1'18,4,4.20 GHz,3.10 GHz,8 MB
Intel Core i7-8750H Processor,Launched,Q2'18,6,4.10 GHz,2.20 GHz,9 MB 
Intel Core i7-8709G Processor with Radeon RX Vega M GH graphics,Announced,Q1'18,4,4.10 GHz,3.10 GHz,8 MB
Intel Core i7-8706G Processor with Radeon RX Vega M GL graphics,Launched,Q1'18,4,4.10 GHz,3.10 GHz,8 MB
Intel Core i7-8706G Processor with Radeon Pro WX Vega M GL graphics,Launched,Q3'18,4,4.10 GHz,3.10 GHz,8 MB
Intel Core i7-8705G Processor with Radeon RX Vega M GL graphics,Announced,Q1'18,4,4.10 GHz,3.10 GHz,8 MB
Intel Core i7-8700T Processor,Launched,Q2'18,6,4.00 GHz,2.40 GHz,12 MB 
Intel Core i7-8700K Processor,Launched,Q4'17,6,4.70 GHz,3.70 GHz,12 MB 
Intel Core i7-8700B Processor,Launched,Q2'18,6,4.60 GHz,3.20 GHz,12 MB 
Intel Core i7-8700 Processor,Launched,Q4'17,6,4.60 GHz,3.20 GHz,12 MB 
"Intel Core i7+8700 Processor (12M Cache, up to 4.60 GHz) includes Intel Optane Memory",Launched,Q2'18,6,4.60 GHz,3.20 GHz,12 MB 
Intel Core i7-8569U Processor,Launched,Q2'19,4,4.70 GHz,2.80 GHz,8 MB 
